problema;Manne funcao_objetivo;Manne mip_relative_gap;Manne best_bound;Manne nb_iterations;Manne time;MinLA funcao_objetivo;MinLA mip_relative_gap;MinLA best_bound;MinLA nb_iterations;MinLA time;Manne Rel. funcao_objetivo;Manne Rel. nb_iterations;Manne Rel. time;MinLA Rel. funcao_objetivo;MinLA Rel. nb_iterations;MinLA Rel. time;fl_funcao_objetivo;dif_funcao_objetivo;fl_best_bound;dif_best_bound;fl_mip_relative_gap;dif_mip_relative_gap;fl_time;dif_time;rel_fl_funcao_objetivo;rel_dif_funcao_objetivo;rel_fl_time;rel_dif_time
ID008_M015_J020;1503,0;0,32516855726897276;1014,2716584247014;134571961;3602,574681043625;1579,0;0,32261222832114245;1069,5952914808838;65621314;3600,1092648506165;920,0;1936;0,05971813201904297;1026,7776752018901;30;0,29427599906921387;True;76,0;True;55,323633056182416;False;-0,002556328947830311;False;-2,465416193008423;True;106,77767520189013;True;0,2345578670501709
ID009_M015_J020;1530,000000000004;0,31608682339220073;1046,387160209904;141258110;3601,7466139793396;1626,0000000000002;0,3374196927315607;1077,3555796184487;52960956;3600,0783529281616;928,0;1838;0,056738853454589844;1026,9079265126534;29;0,25740885734558105;True;95,99999999999613;True;30,968419408544605;True;0,02133286933935996;False;-1,6682610511779785;True;98,90792651265338;True;0,2006700038909912
ID000_M020_J020;1755,0;0,2463371550643054;1322,6782928621194;113273993;3601,86350607872;1827,0;0,2830008438210144;1309,9574583389783;41293389;3600,156715154648;1217,0;2181;0,07977008819580078;1218,9738850053538;29;0,4212648868560791;True;72,0;False;-12,720834523141093;True;0,03666368875670903;False;-1,7067909240722656;True;1,97388500535385;True;0,3414947986602783
ID001_M020_J020;1775,0000000000032;0,26163111293755964;1310,6047745358078;108250403;3601,297082901001;1877,0000000000018;0,3175776966539608;1280,906663380485;40398098;3600,0159640312195;1223,0;2519;0,09157705307006836;1223,0;21;0,2660980224609375;True;101,99999999999864;False;-29,69811115532275;True;0,055946583716401155;False;-1,2811188697814941;False;0,0;True;0,17452096939086914
ID002_M020_J020;1775,0;0,26971830985913986;1296,2499999999998;106687038;3602,1187329292297;1872,0;0,3028846153845993;1304,9999999999998;36815104;3600,020276069641;1164,0;2458;0,07925987243652344;1212,6205303086638;8939;0,2727999687194824;True;97,0;True;8,75;True;0,03316630552545946;False;-2,098456859588623;True;48,620530308663774;True;0,19354009628295898
ID003_M020_J020;1820,000000000002;0,28659157265713175;1298,403337763993;112677570;3602,8260180950165;1946,0;0,3438313808511268;1276,9041328636729;36469589;3600,0129861831665;1151,0;2430;0,08156204223632812;1216,4730986398881;32;0,34723401069641113;True;125,99999999999795;False;-21,499204900320137;True;0,057239808193995045;False;-2,8130319118499756;True;65,47309863988812;True;0,265671968460083
ID004_M020_J020;1796,0000000000018;0,26689269805916527;1316,6607142857138;106825487;3602,0145111083984;1847,0;0,25716146526729117;1372,0227736512875;50492246;3600,0185940265656;1170,0;2410;0,08552885055541992;1298,2718074729887;8632;0,2715339660644531;True;50,99999999999818;True;55,362059365573714;False;-0,0097312327918741;False;-1,9959170818328857;True;128,2718074729887;True;0,1860051155090332
ID005_M020_J020;1747,0;0,2426079367909252;1323,1639344262294;59576156;3600,013638973236;1947,0;0,3124312900150283;1338,6962783407087;41870719;3600,0236558914185;1207,0;2516;0,06709098815917969;1276,4427523632908;9228;0,265671968460083;True;200,0;True;15,53234391447927;True;0,06982335322410307;True;0,010016918182373047;True;69,44275236329077;True;0,19858098030090332
ID006_M020_J020;1779,9999999999989;0,20280898876403303;1419,0;65078368;3600,0130848884583;1871,0;0,25855631089249154;1387,2411423201224;44275685;3600,0108411312103;1291,0;2416;0,07640695571899414;1291,0;9289;0,27541685104370117;True;91,00000000000114;False;-31,758857679877565;True;0,05574732212845851;False;-0,0022437572479248047;False;0,0;True;0,19900989532470703
ID007_M020_J020;1693,0;0,17830636933123375;1391,1273167222034;62830290;3600,0110940933228;1803,0;0,2681014104787633;1319,613156906763;38126320;3600,0111799240112;1221,0;2427;0,07020401954650879;1246,3309552320347;9814;0,300875186920166;True;110,0;False;-71,51415981544051;True;0,08979504114752954;True;8,58306884765625e-05;True;25,33095523203474;True;0,23067116737365723
ID008_M020_J020;1786,0;0,2435610302351491;1350,9999999999993;57159925;3600,0105299949646;1933,0;0,289991868806797;1372,4457175964324;45582344;3600,0118770599365;1227,0;2431;0,06410503387451172;1253,4698634343306;32;0,32997894287109375;True;147,0;True;21,44571759643304;True;0,0464308385716479;True;0,0013470649719238281;True;26,46986343433059;True;0,26587390899658203
ID009_M020_J020;1748,999999816406;0,22074909002237553;1362,9098414077773;62377082;3600,012966156006;1813,0;0,25636579583903285;1348,2088121438078;50385333;3600,0181851387024;1212,0;2434;0,06429409980773926;1275,3367978063022;8179;0,26309800148010254;True;64,00000018359401;False;-14,70102926396953;True;0,035616705816657324;True;0,005218982696533203;True;63,33679780630223;True;0,19880390167236328
ID000_M015_J030;2301,000000000001;0,5106475445458276;1126,0;37576340;3600,219724178314;2728,0;0,5089427450885137;1339,6041913984839;27092671;3600,01348900795;990,0;4043;0,12204790115356445;1319,5714093392799;36;1,2173418998718262;True;426,9999999999991;True;213,60419139848386;False;-0,0017047994573139436;False;-0,20623517036437988;True;329,57140933927985;True;1,0952939987182617
ID001_M015_J030;2508,0000000000005;0,5778788921203551;1058,6797385620916;36238896;3600,179764032364;2600,0;0,45476886842838393;1417,6009420861562;25767774;3600,0225830078125;972,0;4080;0,128676176071167;1389,5768107717658;33;1,1562650203704834;True;91,99999999999955;True;358,9212035240646;False;-0,12311002369197122;False;-0,1571810245513916;True;417,57681077176585;True;1,0275888442993164
ID002_M015_J030;2337,999999999998;0,5424908159872249;1069,656472221813;38096702;3600,264207839966;2751,0;0,4669457394008863;1466,432270908115;26210009;3600,0163321495056;1056,0;4060;0,1284780502319336;1438,4150266396525;38;1,478510856628418;True;413,0000000000018;True;396,7757986863021;False;-0,07554507658633863;False;-0,24787569046020508;True;382,4150266396525;True;1,3500328063964844
