problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID007_M015_J015; minla_fav; 15; 15; True; 1180.9391304347826; 1180.999999993; 5.154069281784449e-05; 10110; 1801; 1035; 6577568; 29445; integer optimal, tolerance; 308.0160799026489; False;  
ID007_M015_J015; manne; 15; 15; False; nan; 963.0; nan; 3375; 1801; 967; 966; 9900; optimal; 0.019623994827270508; False;  
ID007_M015_J015; minla_fav; 15; 15; False; nan; 963.0; nan; 10110; 1801; 1122; 2744; 29445; optimal; 0.07975387573242188; False;  
ID008_M015_J015; manne; 15; 15; True; 1181.344262295082; 1317.0; 0.10300359734617137; 3375; 1801; 987; 221854760; 9900; time limit exceeded; 3600.006695985794; True;  
ID008_M015_J015; minla_fav; 15; 15; True; 1122.9999999999998; 1349.0; 0.16753150481837173; 10110; 1801; 987; 85343391; 29445; time limit exceeded; 3600.008332967758; True;  
ID008_M015_J015; manne; 15; 15; False; nan; 982.0; nan; 3375; 1801; 1085; 1084; 9900; optimal; 0.025801897048950195; False;  
ID008_M015_J015; minla_fav; 15; 15; False; nan; 1012.3756895899518; nan; 10110; 1801; 1142; 3185; 29445; optimal; 0.09688496589660645; False;  
ID009_M015_J015; manne; 15; 15; True; 1086.0; 1225.0; 0.11346938775509277; 3375; 1801; 1060; 123506365; 9900; time limit exceeded; 3600.0069110393524; True;  
ID009_M015_J015; minla_fav; 15; 15; True; 1139.1306868867082; 1221.0; 0.067051034490815; 10110; 1801; 1035; 89585606; 29445; time limit exceeded; 3600.009196996689; True;  
ID009_M015_J015; manne; 15; 15; False; nan; 896.0; nan; 3375; 1801; 1108; 1107; 9900; optimal; 0.02239704132080078; False;  
ID009_M015_J015; minla_fav; 15; 15; False; nan; 988.8829191933197; nan; 10110; 1801; 1153; 3273; 29445; optimal; 0.09652495384216309; False;  
ID000_M015_J020; manne; 15; 20; True; 1073.072626132897; 1493.0000000000023; 0.2812641486048737; 6000; 3151; 1772; 144136004; 17700; time limit exceeded; 3602.29221701622; True;  
ID000_M015_J020; minla_fav; 15; 20; True; 1037.1391097400747; 1702.0; 0.39063507065798253; 17980; 3151; 1733; 48321921; 52760; time limit exceeded; 3600.0185110569; True;  
ID000_M015_J020; manne; 15; 20; False; nan; 949.0; nan; 6000; 3151; 1953; 1952; 17700; optimal; 0.06248188018798828; False;  
ID000_M015_J020; minla_fav; 15; 20; False; nan; 992.1796252084565; nan; 17980; 3151; 1965; 7925; 52760; optimal; 0.2827951908111572; False;  
ID001_M015_J020; manne; 15; 20; True; 1070.2536409057097; 1536.0; 0.3032202858686588; 6000; 3151; 1718; 140044723; 17700; time limit exceeded; 3602.245754003525; True;  
ID001_M015_J020; minla_fav; 15; 20; True; 1100.106408520524; 1728.0; 0.3633643469209721; 17980; 3151; 1588; 33256102; 52760; time limit exceeded; 3600.018383026123; True;  
ID001_M015_J020; manne; 15; 20; False; nan; 1012.0; nan; 6000; 3151; 1913; 1912; 17700; optimal; 0.06283211708068848; False;  
ID001_M015_J020; minla_fav; 15; 20; False; nan; 1031.4636608621915; nan; 17980; 3151; 2142; 29; 52760; optimal; 0.2773721218109131; False;  
ID002_M015_J020; manne; 15; 20; True; 1147.9069767441833; 1454.0000000000196; 0.2105178977000076; 6000; 3151; 1674; 119897777; 17700; time limit exceeded; 3602.810751914978; True;  
ID002_M015_J020; minla_fav; 15; 20; True; 1115.4897648078172; 1620.0000000000007; 0.31142607110626674; 17980; 3151; 1593; 67222654; 52760; time limit exceeded; 3600.016485929489; True;  
ID002_M015_J020; manne; 15; 20; False; nan; 919.0; nan; 6000; 3151; 1906; 1905; 17700; optimal; 0.06173992156982422; False;  
ID002_M015_J020; minla_fav; 15; 20; False; nan; 1057.7602784273868; nan; 17980; 3151; 1871; 7856; 52760; optimal; 0.2415621280670166; False;  
ID003_M015_J020; manne; 15; 20; True; 1026.9999999999995; 1441.0000000000014; 0.2873004857737493; 6000; 3151; 1717; 139490298; 17700; time limit exceeded; 3602.130218029022; True;  
ID003_M015_J020; minla_fav; 15; 20; True; 1048.9999999999995; 1586.9999999999998; 0.33900441083803806; 17980; 3151; 1698; 48699746; 52760; time limit exceeded; 3600.137537956238; True;  
ID003_M015_J020; manne; 15; 20; False; nan; 990.0; nan; 6000; 3151; 1976; 1975; 17700; optimal; 0.06600403785705566; False;  
ID003_M015_J020; minla_fav; 15; 20; False; nan; 1004.1357422213896; nan; 17980; 3151; 2033; 25; 52760; optimal; 0.27851104736328125; False;  
ID004_M015_J020; manne; 15; 20; True; 1032.834862385321; 1561.0; 0.33835050455774834; 6000; 3151; 1690; 137984133; 17700; time limit exceeded; 3602.861755132675; True;  
ID004_M015_J020; minla_fav; 15; 20; True; 1108.0213030113196; 1614.0; 0.3134936164737603; 17980; 3151; 1613; 72571749; 52760; time limit exceeded; 3600.0125279426575; True;  
ID004_M015_J020; manne; 15; 20; False; nan; 880.0; nan; 6000; 3151; 1824; 1823; 17700; optimal; 0.06562209129333496; False;  
ID004_M015_J020; minla_fav; 15; 20; False; nan; 1053.1511547726268; nan; 17980; 3151; 1941; 8243; 52760; optimal; 0.2503538131713867; False;  
ID005_M015_J020; manne; 15; 20; True; 1089.425802600061; 1533.0; 0.28935042230913904; 6000; 3151; 1660; 144122515; 17700; time limit exceeded; 3603.4754757881165; True;  
ID005_M015_J020; minla_fav; 15; 20; True; 1202.6193794289982; 1574.0; 0.2359470270463648; 17980; 3151; 1754; 77753822; 52760; time limit exceeded; 3600.00914311409; True;  
ID005_M015_J020; manne; 15; 20; False; nan; 932.0; nan; 6000; 3151; 1938; 1937; 17700; optimal; 0.05085301399230957; False;  
ID005_M015_J020; minla_fav; 15; 20; False; nan; 1141.3457533407186; nan; 17980; 3151; 1860; 8202; 52760; optimal; 0.21392297744750977; False;  
ID006_M015_J020; manne; 15; 20; True; 1079.8566755190686; 1576.9999999999998; 0.31524624253703215; 6000; 3151; 1705; 147075493; 17700; time limit exceeded; 3602.457062959671; True;  
ID006_M015_J020; minla_fav; 15; 20; True; 1215.3636453021074; 1725.0; 0.29544136504223945; 17980; 3151; 1738; 61949850; 52760; time limit exceeded; 3600.017210960388; True;  
ID006_M015_J020; manne; 15; 20; False; nan; 979.0; nan; 6000; 3151; 1841; 1840; 17700; optimal; 0.05194497108459473; False;  
ID006_M015_J020; minla_fav; 15; 20; False; nan; 1106.4980710952977; nan; 17980; 3151; 2100; 29; 52760; optimal; 0.23913097381591797; False;  
ID007_M015_J020; manne; 15; 20; True; 1061.3658536585363; 1547.0000000000039; 0.31391993945794117; 6000; 3151; 1838; 140416374; 17700; time limit exceeded; 3602.126846075058; True;  
ID007_M015_J020; minla_fav; 15; 20; True; 1078.5876229191892; 1704.0; 0.3670260428877782; 17980; 3151; 1620; 55518517; 52760; time limit exceeded; 3600.016359090805; True;  
ID007_M015_J020; manne; 15; 20; False; nan; 900.0; nan; 6000; 3151; 2003; 2002; 17700; optimal; 0.06712913513183594; False;  
ID007_M015_J020; minla_fav; 15; 20; False; nan; 1027.4873672272483; nan; 17980; 3151; 2039; 9206; 52760; optimal; 0.2594139575958252; False;  
ID008_M015_J020; manne; 15; 20; True; 1014.2716584247014; 1503.0; 0.32516855726897276; 6000; 3151; 1689; 134571961; 17700; time limit exceeded; 3602.574681043625; True;  
ID008_M015_J020; minla_fav; 15; 20; True; 1069.5952914808838; 1579.0; 0.32261222832114245; 17980; 3151; 1660; 65621314; 52760; time limit exceeded; 3600.1092648506165; True;  
ID008_M015_J020; manne; 15; 20; False; nan; 920.0; nan; 6000; 3151; 1937; 1936; 17700; optimal; 0.05971813201904297; False;  
ID008_M015_J020; minla_fav; 15; 20; False; nan; 1026.7776752018901; nan; 17980; 3151; 2038; 30; 52760; optimal; 0.29427599906921387; False;  
ID009_M015_J020; manne; 15; 20; True; 1046.387160209904; 1530.000000000004; 0.31608682339220073; 6000; 3151; 1647; 141258110; 17700; time limit exceeded; 3601.7466139793396; True;  
ID009_M015_J020; minla_fav; 15; 20; True; 1077.3555796184487; 1626.0000000000002; 0.3374196927315607; 17980; 3151; 1575; 52960956; 52760; time limit exceeded; 3600.0783529281616; True;  
ID009_M015_J020; manne; 15; 20; False; nan; 928.0; nan; 6000; 3151; 1839; 1838; 17700; optimal; 0.056738853454589844; False;  
ID009_M015_J020; minla_fav; 15; 20; False; nan; 1026.9079265126534; nan; 17980; 3151; 2128; 29; 52760; optimal; 0.25740885734558105; False;  
ID000_M020_J020; manne; 20; 20; True; 1322.6782928621194; 1755.0; 0.2463371550643054; 8000; 4201; 2216; 113273993; 23600; time limit exceeded; 3601.86350607872; True;  
ID000_M020_J020; minla_fav; 20; 20; True; 1309.9574583389783; 1827.0; 0.2830008438210144; 23980; 4201; 2053; 41293389; 70360; time limit exceeded; 3600.156715154648; True;  
ID000_M020_J020; manne; 20; 20; False; nan; 1217.0; nan; 8000; 4201; 2182; 2181; 23600; optimal; 0.07977008819580078; False;  
ID000_M020_J020; minla_fav; 20; 20; False; nan; 1218.9738850053538; nan; 23980; 4201; 2593; 29; 70360; optimal; 0.4212648868560791; False;  
ID001_M020_J020; manne; 20; 20; True; 1310.6047745358078; 1775.0000000000032; 0.26163111293755964; 8000; 4201; 2329; 108250403; 23600; time limit exceeded; 3601.297082901001; True;  
ID001_M020_J020; minla_fav; 20; 20; True; 1280.906663380485; 1877.0000000000018; 0.3175776966539608; 23980; 4201; 2405; 40398098; 70360; time limit exceeded; 3600.0159640312195; True;  
ID001_M020_J020; manne; 20; 20; False; nan; 1223.0; nan; 8000; 4201; 2520; 2519; 23600; optimal; 0.09157705307006836; False;  
ID001_M020_J020; minla_fav; 20; 20; False; nan; 1223.0; nan; 23980; 4201; 2589; 21; 70360; optimal; 0.2660980224609375; False;  
ID002_M020_J020; manne; 20; 20; True; 1296.2499999999998; 1775.0; 0.26971830985913986; 8000; 4201; 2258; 106687038; 23600; time limit exceeded; 3602.1187329292297; True;  
ID002_M020_J020; minla_fav; 20; 20; True; 1304.9999999999998; 1872.0; 0.3028846153845993; 23980; 4201; 2259; 36815104; 70360; time limit exceeded; 3600.020276069641; True;  
ID002_M020_J020; manne; 20; 20; False; nan; 1164.0; nan; 8000; 4201; 2459; 2458; 23600; optimal; 0.07925987243652344; False;  
ID002_M020_J020; minla_fav; 20; 20; False; nan; 1212.6205303086638; nan; 23980; 4201; 2447; 8939; 70360; optimal; 0.2727999687194824; False;  
ID003_M020_J020; manne; 20; 20; True; 1298.403337763993; 1820.000000000002; 0.28659157265713175; 8000; 4201; 2282; 112677570; 23600; time limit exceeded; 3602.8260180950165; True;  
ID003_M020_J020; minla_fav; 20; 20; True; 1276.9041328636729; 1946.0; 0.3438313808511268; 23980; 4201; 2272; 36469589; 70360; time limit exceeded; 3600.0129861831665; True;  
ID003_M020_J020; manne; 20; 20; False; nan; 1151.0; nan; 8000; 4201; 2431; 2430; 23600; optimal; 0.08156204223632812; False;  
ID003_M020_J020; minla_fav; 20; 20; False; nan; 1216.4730986398881; nan; 23980; 4201; 2694; 32; 70360; optimal; 0.34723401069641113; False;  
ID004_M020_J020; manne; 20; 20; True; 1316.6607142857138; 1796.0000000000018; 0.26689269805916527; 8000; 4201; 2234; 106825487; 23600; time limit exceeded; 3602.0145111083984; True;  
